difficulty,proficiency_group,chain_position,chain_length,delta_seconds,is_intra_session,chain_final_outcome,chain_total_time
D,G6,2,3,294,true,AC,2496
D,G6,1,3,175,true,AC,223
D,G6,2,3,48,true,AC,223
D,G6,1,3,126,true,RE,1091
D,G6,2,3,965,true,RE,1091
D,G6,1,5,28,true,AC,696
D,G6,2,5,294,true,AC,696
D,G6,3,5,52,true,AC,696
D,G6,4,5,322,true,AC,696
D,G6,1,3,204,true,WA,214
D,G6,2,3,10,true,WA,214
D,G6,1,2,352,true,RE,352
D,G6,1,5,2320,true,AC,486057
D,G6,2,5,9,true,AC,486057
D,G6,3,5,483487,false,AC,486057
D,G6,4,5,241,true,AC,486057
D,G6,1,2,127,true,AC,127
E,G6,1,2,223,true,AC,223
E,G6,1,3,112,true,WA,316
E,G6,2,3,204,true,WA,316
E,G6,1,2,34,true,RE,34
E,G6,1,5,221,true,RE,11281
E,G6,2,5,71,true,RE,11281
E,G6,3,5,9913,true,RE,11281
E,G6,4,5,1076,true,RE,11281
E,G6,1,2,382,true,AC,382
D,G6,1,2,295,true,CE,295
D,G6,1,2,110,true,AC,110
E,G6,1,3,1686,true,WA,1704
E,G6,2,3,18,true,WA,1704
D,G6,1,2,238,true,RE,238
E,G6,1,2,183,true,RE,183
D,G6,1,4,851,true,AC,2733
D,G6,2,4,402,true,AC,2733
D,G6,3,4,1480,true,AC,2733
D,G6,1,3,474,true,Abandon,772
D,G6,2,3,298,true,Abandon,772
D,G6,1,3,420,true,WA,5948
D,G6,2,3,5528,true,WA,5948
D,G6,1,2,205,true,Abandon,205
C,G6,1,3,113,true,AC,226
C,G6,2,3,113,true,AC,226
D,G6,1,7,598,true,WA,4151
D,G6,2,7,1170,true,WA,4151
D,G6,3,7,192,true,WA,4151
D,G6,4,7,73,true,WA,4151
D,G6,5,7,317,true,WA,4151
D,G6,6,7,1801,true,WA,4151
C,G6,1,2,609,true,WA,609
D,G6,1,5,881,true,Abandon,1862
D,G6,2,5,243,true,Abandon,1862
D,G6,3,5,190,true,Abandon,1862
D,G6,4,5,548,true,Abandon,1862
D,G6,1,2,141,true,AC,141
D,G6,1,2,936,true,AC,936
C,G5,1,2,957,true,WA,957
F,G6,1,3,251,true,Abandon,533
F,G6,2,3,282,true,Abandon,533
E,G6,1,2,2487,true,Abandon,2487
E,G6,1,12,419,true,Abandon,81304
E,G6,2,12,379,true,Abandon,81304
E,G6,3,12,192,true,Abandon,81304
E,G6,4,12,508,true,Abandon,81304
E,G6,5,12,189,true,Abandon,81304
E,G6,6,12,210,true,Abandon,81304
E,G6,7,12,77678,false,Abandon,81304
E,G6,8,12,558,true,Abandon,81304
E,G6,9,12,667,true,Abandon,81304
E,G6,10,12,127,true,Abandon,81304
E,G6,11,12,377,true,Abandon,81304
D,G6,1,4,100,true,CE,4462645
D,G6,2,4,377,true,CE,4462645
D,G6,3,4,4462168,false,CE,4462645
D,G6,1,2,57209,false,AC,57209
E,G6,1,2,146,true,AC,146
D,G6,1,2,96,true,WA,96
D,G6,1,3,1596,true,AC,2071
D,G6,2,3,475,true,AC,2071
C,G3,1,2,2614,true,Abandon,2614
C,G3,1,3,189,true,AC,455
C,G3,2,3,266,true,AC,455
C,G3,1,2,238,true,WA,238
C,G3,1,2,1066,true,WA,1066
E,G5,1,6,952,true,Abandon,2432
E,G5,2,6,319,true,Abandon,2432
E,G5,3,6,365,true,Abandon,2432
E,G5,4,6,175,true,Abandon,2432
E,G5,5,6,621,true,Abandon,2432
D,G5,1,2,320,true,AC,320
D,G5,1,2,1066,true,RE,1066
C,G5,1,2,794,true,WA,794
D,G5,1,3,180,true,WA,71772
D,G5,2,3,71592,false,WA,71772
D,G4,1,2,1654,true,Abandon,1654
F,G6,1,3,351,true,AC,15122
F,G6,2,3,14771,false,AC,15122
B,G6,1,2,96,true,WA,96
E,G4,1,3,123,true,Abandon,7568
E,G4,2,3,7445,true,Abandon,7568
D,G6,1,3,207,true,AC,314
D,G6,2,3,107,true,AC,314
D,G4,1,2,644,true,AC,644
D,G4,1,3,640,true,RE,843
D,G4,2,3,203,true,RE,843
C,G4,1,3,41202,false,RE,41701
C,G4,2,3,499,true,RE,41701
C,G4,1,5,137,true,AC,1486
C,G4,2,5,1031,true,AC,1486
C,G4,3,5,140,true,AC,1486
C,G4,4,5,178,true,AC,1486
C,G3,1,3,62,true,RE,139
C,G3,2,3,77,true,RE,139
C,G3,1,7,260,true,CE,1832
C,G3,2,7,237,true,CE,1832
C,G3,3,7,667,true,CE,1832
C,G3,4,7,136,true,CE,1832
C,G3,5,7,258,true,CE,1832
C,G3,6,7,274,true,CE,1832
D,G5,1,2,23831,false,AC,23831
C,G3,1,3,260,true,WA,431
C,G3,2,3,171,true,WA,431
C,G4,1,2,550,true,WA,550
C,G4,1,3,115,true,WA,215
C,G4,2,3,100,true,WA,215
C,G4,1,2,131,true,AC,131
C,G4,1,2,440,true,Abandon,440
D,G3,1,3,730,true,Abandon,2634
D,G3,2,3,1904,true,Abandon,2634
F,G6,1,2,140,true,AC,140
F,G6,1,2,526,true,AC,526
D,G6,1,4,136,true,AC,889
D,G6,2,4,259,true,AC,889
D,G6,3,4,494,true,AC,889
C,G6,1,2,214,true,RE,214
D,G6,1,2,62,true,AC,62
D,G6,1,2,219,true,RE,219
D,G6,1,2,1402,true,CE,1402
D,G6,1,3,245,true,WA,884
D,G6,2,3,639,true,WA,884
B,G2,1,2,699,true,AC,699
C,G3,1,3,921,true,Abandon,59513
C,G3,2,3,58592,false,Abandon,59513
C,G6,1,2,46,true,WA,46
C,G6,1,2,122,true,AC,122
D,G6,1,2,182,true,Abandon,182
C,G6,1,4,228,true,WA,2340
C,G6,2,4,1155,true,WA,2340
C,G6,3,4,957,true,WA,2340
C,G5,1,2,279,true,AC,279
D,G5,1,2,150,true,RE,150
D,G5,1,2,1823,true,AC,1823
D,G5,1,2,319,true,WA,319
C,G5,1,2,2134,true,AC,2134
D,G5,1,2,934,true,RE,934
C,G3,1,4,348,true,WA,1734
C,G3,2,4,172,true,WA,1734
C,G3,3,4,1214,true,WA,1734
D,G6,1,2,119,true,Abandon,119
D,G6,1,2,918,true,AC,918
F,G6,1,2,2942,true,AC,2942
F,G6,1,2,93,true,Abandon,93
D,G5,1,4,204,true,CE,898
D,G5,2,4,493,true,CE,898
D,G5,3,4,201,true,CE,898
B,G5,1,3,29,true,AC,60
B,G5,2,3,31,true,AC,60
C,G5,1,3,291,true,AC,736
C,G5,2,3,445,true,AC,736
C,G3,1,2,603,true,Abandon,603
D,G3,1,3,526,true,WA,682
D,G3,2,3,156,true,WA,682
D,G4,1,3,647,true,WA,1178
D,G4,2,3,531,true,WA,1178
F,G6,1,2,747,true,AC,747
E,G6,1,2,265,true,AC,265
D,G6,1,2,797,true,WA,797
D,G6,1,2,848,true,AC,848
F,G6,1,2,489,true,WA,489
E,G6,1,2,3146,true,RE,3146
E,G6,1,2,512,true,WA,512
D,G6,1,3,1619,true,Abandon,1790
D,G6,2,3,171,true,Abandon,1790
B,G6,1,2,34,true,WA,34
F,G6,1,2,200,true,WA,200
D,G6,1,2,603,true,AC,603
C,G6,1,3,592,true,AC,940
C,G6,2,3,348,true,AC,940
D,G6,1,2,44,true,Abandon,44
D,G6,1,2,4546,true,Abandon,4546
D,G6,1,3,2798,true,WA,3782
D,G6,2,3,984,true,WA,3782
C,G6,1,3,1159,true,AC,1342
C,G6,2,3,183,true,AC,1342
B,G4,1,2,239,true,AC,239
C,G3,1,2,141,true,RE,141
D,G5,1,4,88,true,Abandon,867689
D,G5,2,4,866815,false,Abandon,867689
D,G5,3,4,786,true,Abandon,867689
D,G4,1,2,371,true,WA,371
D,G4,1,3,435,true,Abandon,576
D,G4,2,3,141,true,Abandon,576
D,G4,1,2,212,true,AC,212
D,G4,1,3,2478,true,Abandon,2581
D,G4,2,3,103,true,Abandon,2581
D,G4,1,2,19501,false,Abandon,19501
E,G6,1,2,159,true,RE,159
D,G6,1,2,152,true,AC,152
F,G6,1,2,1399,true,WA,1399
C,G4,1,2,852,true,AC,852
E,G6,1,3,25,true,AC,66
E,G6,2,3,41,true,AC,66
D,G4,1,2,1438,true,Abandon,1438
D,G4,1,2,229,true,WA,229
C,G4,1,4,1051,true,AC,1459
C,G4,2,4,361,true,AC,1459
C,G4,3,4,47,true,AC,1459
D,G4,1,2,163,true,RE,163
D,G4,1,2,154,true,AC,154
C,G4,1,2,162,true,AC,162
B,G4,1,2,140,true,AC,140
B,G4,1,3,212,true,CE,416
B,G4,2,3,204,true,CE,416
D,G6,1,2,46,true,WA,46
D,G6,1,10,1344,true,RE,91868
D,G6,2,10,3433,true,RE,91868
D,G6,3,10,85935,false,RE,91868
D,G6,4,10,114,true,RE,91868
D,G6,5,10,552,true,RE,91868
D,G6,6,10,34,true,RE,91868
D,G6,7,10,129,true,RE,91868
D,G6,8,10,282,true,RE,91868
D,G6,9,10,45,true,RE,91868
E,G6,1,3,180,true,AC,362
E,G6,2,3,182,true,AC,362
D,G6,1,7,4690,true,RE,33553
D,G6,2,7,158,true,RE,33553
D,G6,3,7,144,true,RE,33553
D,G6,4,7,65,true,RE,33553
D,G6,5,7,380,true,RE,33553
D,G6,6,7,28116,false,RE,33553
D,G6,1,3,195,true,AC,299
D,G6,2,3,104,true,AC,299
D,G6,1,6,626,true,AC,1791
D,G6,2,6,139,true,AC,1791
D,G6,3,6,143,true,AC,1791
D,G6,4,6,445,true,AC,1791
D,G6,5,6,438,true,AC,1791
E,G6,1,2,145,true,Abandon,145
D,G6,1,7,178,true,AC,1611
D,G6,2,7,256,true,AC,1611
D,G6,3,7,415,true,AC,1611
D,G6,4,7,30,true,AC,1611
D,G6,5,7,259,true,AC,1611
D,G6,6,7,473,true,AC,1611
C,G6,1,3,96,true,AC,478
C,G6,2,3,382,true,AC,478
D,G6,1,2,282,true,WA,282
C,G6,1,3,106,true,RE,181
C,G6,2,3,75,true,RE,181
D,G5,1,4,281,true,AC,1426
D,G5,2,4,466,true,AC,1426
D,G5,3,4,679,true,AC,1426
E,G5,1,2,1841,true,Abandon,1841
E,G5,1,4,1614,true,AC,178985
E,G5,2,4,176413,false,AC,178985
E,G5,3,4,958,true,AC,178985
C,G5,1,4,50,true,WA,832
C,G5,2,4,410,true,WA,832
C,G5,3,4,372,true,WA,832
F,G5,1,2,149,true,Abandon,149
D,G5,1,3,112,true,WA,653
D,G5,2,3,541,true,WA,653
D,G5,1,4,2053,true,Abandon,3379
D,G5,2,4,353,true,Abandon,3379
D,G5,3,4,973,true,Abandon,3379
D,G5,1,2,991,true,AC,991
C,G5,1,2,2452,true,AC,2452
D,G5,1,4,1175,true,Abandon,259528
D,G5,2,4,254732,false,Abandon,259528
D,G5,3,4,3621,true,Abandon,259528
D,G5,1,2,160,true,Abandon,160
D,G5,1,3,162,true,AC,1013
D,G5,2,3,851,true,AC,1013
E,G5,1,3,27,true,Abandon,62
E,G5,2,3,35,true,Abandon,62
C,G5,1,2,2071054,false,AC,2071054
D,G5,1,2,4042,true,RE,4042
C,G5,1,3,300,true,AC,449
C,G5,2,3,149,true,AC,449
C,G5,1,2,613,true,AC,613
C,G5,1,2,48,true,AC,48
D,G5,1,3,153072,false,Abandon,153541
D,G5,2,3,469,true,Abandon,153541
C,G5,1,2,339,true,CE,339
E,G6,1,2,1125,true,AC,1125
F,G6,1,4,87,true,RE,1358
F,G6,2,4,831,true,RE,1358
F,G6,3,4,440,true,RE,1358
F,G6,1,2,1852,true,RE,1852
C,G6,1,2,719,true,AC,719
E,G6,1,2,1354,true,RE,1354
D,G6,1,2,1468,true,Abandon,1468
D,G6,1,4,172,true,WA,460
D,G6,2,4,200,true,WA,460
D,G6,3,4,88,true,WA,460
D,G6,1,2,83,true,AC,83
D,G6,1,7,969,true,Abandon,5499
D,G6,2,7,1538,true,Abandon,5499
D,G6,3,7,339,true,Abandon,5499
D,G6,4,7,236,true,Abandon,5499
D,G6,5,7,284,true,Abandon,5499
D,G6,6,7,2133,true,Abandon,5499
D,G6,1,2,469479,false,Abandon,469479
E,G5,1,2,47,true,Abandon,47
D,G5,1,2,1038,true,RE,1038
D,G5,1,2,506,true,Abandon,506
D,G5,1,3,1668,true,WA,2701
D,G5,2,3,1033,true,WA,2701
B,G5,1,2,74,true,AC,74
D,G6,1,7,259,true,AC,2110
D,G6,2,7,540,true,AC,2110
D,G6,3,7,377,true,AC,2110
D,G6,4,7,552,true,AC,2110
D,G6,5,7,18,true,AC,2110
D,G6,6,7,364,true,AC,2110
C,G6,1,2,326,true,AC,326
F,G6,1,2,1942,true,Abandon,1942
E,G6,1,3,551,true,AC,1335
E,G6,2,3,784,true,AC,1335
E,G6,1,2,240,true,AC,240
E,G6,1,3,146,true,Abandon,8224475
E,G6,2,3,8224329,false,Abandon,8224475
D,G6,1,2,326278,false,WA,326278
D,G6,1,3,653,true,Abandon,1113
D,G6,2,3,460,true,Abandon,1113
D,G6,1,2,72,true,AC,72
C,G6,1,3,799,true,AC,158401
C,G6,2,3,157602,false,AC,158401
D,G4,1,2,401,true,AC,401
D,G4,1,3,807,true,AC,1328
D,G4,2,3,521,true,AC,1328
C,G4,1,2,231,true,WA,231
E,G5,1,2,322,true,AC,322
D,G3,1,3,667,true,Abandon,6931
D,G3,2,3,6264,true,Abandon,6931
F,G6,1,4,228,true,AC,321
F,G6,2,4,57,true,AC,321
F,G6,3,4,36,true,AC,321
F,G6,1,9,1311,true,AC,2948
F,G6,2,9,41,true,AC,2948
F,G6,3,9,358,true,AC,2948
F,G6,4,9,728,true,AC,2948
F,G6,5,9,85,true,AC,2948
F,G6,6,9,269,true,AC,2948
F,G6,7,9,93,true,AC,2948
F,G6,8,9,63,true,AC,2948
E,G6,1,4,41347,false,AC,41560
E,G6,2,4,68,true,AC,41560
E,G6,3,4,145,true,AC,41560
E,G6,1,3,75,true,AC,146
E,G6,2,3,71,true,AC,146
E,G6,1,3,803,true,WA,5627
E,G6,2,3,4824,true,WA,5627
E,G6,1,6,118,true,AC,156530
E,G6,2,6,191,true,AC,156530
E,G6,3,6,156080,false,AC,156530
E,G6,4,6,87,true,AC,156530
E,G6,5,6,54,true,AC,156530
E,G6,1,2,194,true,Abandon,194
E,G6,1,2,1132,true,AC,1132
E,G6,1,2,1867,true,WA,1867
E,G6,1,2,1812,true,WA,1812
D,G6,1,3,485,true,CE,3442
D,G6,2,3,2957,true,CE,3442
D,G6,1,2,300,true,RE,300
D,G6,1,2,405,true,AC,405
C,G6,1,3,187,true,AC,484
C,G6,2,3,297,true,AC,484
D,G6,1,2,113,true,WA,113
D,G6,1,2,3437,true,AC,3437
D,G6,1,4,2257,true,AC,3022
D,G6,2,4,614,true,AC,3022
D,G6,3,4,151,true,AC,3022
D,G6,1,3,131,true,AC,346
D,G6,2,3,215,true,AC,346
D,G6,1,3,911,true,RE,2927
D,G6,2,3,2016,true,RE,2927
D,G5,1,2,122,true,Abandon,122
D,G4,1,2,182,true,AC,182
D,G3,1,3,2100,true,Abandon,134936
D,G3,2,3,132836,false,Abandon,134936
C,G3,1,4,1007,true,CE,1085
C,G3,2,4,58,true,CE,1085
C,G3,3,4,20,true,CE,1085
C,G4,1,5,613,true,WA,2946
C,G4,2,5,1863,true,WA,2946
C,G4,3,5,128,true,WA,2946
C,G4,4,5,342,true,WA,2946
D,G4,1,7,572,true,Abandon,2370
D,G4,2,7,107,true,Abandon,2370
D,G4,3,7,895,true,Abandon,2370
D,G4,4,7,165,true,Abandon,2370
D,G4,5,7,266,true,Abandon,2370
D,G4,6,7,365,true,Abandon,2370
C,G4,1,2,332,true,AC,332
E,G4,1,2,93,true,RE,93
B,G4,1,5,469,true,Abandon,1678
B,G4,2,5,129,true,Abandon,1678
B,G4,3,5,994,true,Abandon,1678
B,G4,4,5,86,true,Abandon,1678
D,G4,1,2,781,true,WA,781
D,G4,1,2,122,true,Abandon,122
C,G4,1,4,116,true,AC,2794
C,G4,2,4,245,true,AC,2794
C,G4,3,4,2433,true,AC,2794
B,G2,1,2,216,true,WA,216
C,G2,1,3,2220,true,RE,5743
C,G2,2,3,3523,true,RE,5743
D,G4,1,4,1485,true,RE,2755
D,G4,2,4,1133,true,RE,2755
D,G4,3,4,137,true,RE,2755
C,G4,1,2,203,true,Abandon,203
D,G4,1,2,82,true,WA,82
D,G4,1,2,495,true,AC,495
B,G4,1,2,663,true,AC,663
B,G3,1,2,136,true,AC,136
F,G6,1,2,1406,true,AC,1406
E,G5,1,3,129,true,AC,1408
E,G5,2,3,1279,true,AC,1408
D,G5,1,2,909,true,Abandon,909
C,G5,1,4,288,true,AC,152064
C,G5,2,4,151616,false,AC,152064
C,G5,3,4,160,true,AC,152064
C,G4,1,2,2447,true,Abandon,2447
C,G4,1,2,224,true,Abandon,224
C,G4,1,3,8962802,false,AC,8964706
C,G4,2,3,1904,true,AC,8964706
D,G3,1,2,265,true,Abandon,265
E,G6,1,2,584,true,WA,584
D,G4,1,2,369,true,Abandon,369
E,G4,1,3,597,true,Abandon,587190
E,G4,2,3,586593,false,Abandon,587190
D,G4,1,2,17,true,Abandon,17
D,G3,1,2,3047,true,Abandon,3047
C,G3,1,2,83390,false,AC,83390
B,G4,1,2,322,true,WA,322
D,G4,1,3,534,true,Abandon,3887
D,G4,2,3,3353,true,Abandon,3887
C,G4,1,5,426,true,AC,946
C,G4,2,5,344,true,AC,946
C,G4,3,5,27,true,AC,946
C,G4,4,5,149,true,AC,946
C,G4,1,2,2691,true,AC,2691
D,G4,1,2,676,true,AC,676
D,G4,1,2,124,true,RE,124
D,G4,1,2,768,true,AC,768
D,G4,1,2,639,true,WA,639
D,G4,1,2,167402,false,WA,167402
E,G4,1,2,524,true,Abandon,524
C,G4,1,3,143,true,WA,1285
C,G4,2,3,1142,true,WA,1285
C,G4,1,2,340,true,Abandon,340
F,G3,1,2,515,true,Abandon,515
D,G4,1,3,1554,true,Abandon,1742
D,G4,2,3,188,true,Abandon,1742
D,G4,1,2,1010,true,AC,1010
D,G4,1,3,969,true,WA,5193
D,G4,2,3,4224,true,WA,5193
D,G4,1,2,982,true,AC,982
C,G4,1,2,311,true,AC,311
D,G4,1,2,646,true,WA,646
D,G4,1,2,553,true,WA,553
C,G4,1,3,369,true,AC,638
C,G4,2,3,269,true,AC,638
D,G4,1,4,256,true,WA,782
D,G4,2,4,223,true,WA,782
D,G4,3,4,303,true,WA,782
D,G4,1,4,174,true,AC,1798
D,G4,2,4,258,true,AC,1798
D,G4,3,4,1366,true,AC,1798
A,G4,1,7,102,true,AC,737
A,G4,2,7,194,true,AC,737
A,G4,3,7,44,true,AC,737
A,G4,4,7,231,true,AC,737
A,G4,5,7,119,true,AC,737
A,G4,6,7,47,true,AC,737
D,G5,1,3,301472,false,CE,301954
D,G5,2,3,482,true,CE,301954
D,G5,1,6,550,true,AC,3236
D,G5,2,6,500,true,AC,3236
D,G5,3,6,808,true,AC,3236
D,G5,4,6,940,true,AC,3236
D,G5,5,6,438,true,AC,3236
D,G5,1,2,844,true,Abandon,844
C,G3,1,4,177,true,Abandon,1419
C,G3,2,4,940,true,Abandon,1419
C,G3,3,4,302,true,Abandon,1419
E,G6,1,3,320,true,RE,934
E,G6,2,3,614,true,RE,934
D,G2,1,2,513,true,Abandon,513
C,G5,1,2,86,true,Abandon,86
C,G4,1,2,4048,true,Abandon,4048
B,G4,1,2,138,true,WA,138
D,G6,1,4,195,true,Abandon,1215
D,G6,2,4,445,true,Abandon,1215
D,G6,3,4,575,true,Abandon,1215
D,G6,1,2,1081,true,Abandon,1081
D,G6,1,2,160,true,RE,160
D,G4,1,3,120,true,Abandon,1819
D,G4,2,3,1699,true,Abandon,1819
C,G4,1,2,399,true,WA,399
C,G6,1,3,2225,true,RE,2363
C,G6,2,3,138,true,RE,2363
C,G6,1,2,1669,true,WA,1669
C,G3,1,3,299,true,AC,516
C,G3,2,3,217,true,AC,516
D,G5,1,3,1394,true,AC,2070
D,G5,2,3,676,true,AC,2070
D,G4,1,6,778,true,Abandon,9044
D,G4,2,6,2527,true,Abandon,9044
D,G4,3,6,4184,true,Abandon,9044
D,G4,4,6,1167,true,Abandon,9044
D,G4,5,6,388,true,Abandon,9044
F,G6,1,2,301,true,WA,301
F,G6,1,2,96,true,AC,96
E,G6,1,2,773,true,AC,773
D,G6,1,4,80,true,WA,755
D,G6,2,4,637,true,WA,755
D,G6,3,4,38,true,WA,755
E,G5,1,2,74204,false,AC,74204
E,G5,1,4,773,true,AC,1791
E,G5,2,4,394,true,AC,1791
E,G5,3,4,624,true,AC,1791
F,G6,1,2,49526,false,Abandon,49526
D,G6,1,2,126,true,AC,126
D,G6,1,2,61,true,Abandon,61
D,G6,1,4,43,true,WA,1058
D,G6,2,4,939,true,WA,1058
D,G6,3,4,76,true,WA,1058
D,G6,1,2,37,true,AC,37
E,G6,1,2,270,true,WA,270
E,G6,1,2,620,true,WA,620
D,G4,1,2,575,true,Abandon,575
D,G4,1,2,130,true,WA,130
D,G4,1,2,784,true,RE,784
C,G4,1,2,209,true,WA,209
C,G4,1,4,900,true,RE,1362
C,G4,2,4,272,true,RE,1362
C,G4,3,4,190,true,RE,1362
C,G4,1,3,58,true,AC,351
C,G4,2,3,293,true,AC,351
E,G5,1,2,1156,true,Abandon,1156
C,G5,1,3,832,true,AC,20739
C,G5,2,3,19907,false,AC,20739
C,G5,1,3,115,true,WA,576
C,G5,2,3,461,true,WA,576
C,G5,1,2,1084,true,AC,1084
C,G5,1,3,175,true,AC,273
C,G5,2,3,98,true,AC,273
B,G5,1,3,287,true,AC,1010
B,G5,2,3,723,true,AC,1010
C,G4,1,3,777,true,AC,1581
C,G4,2,3,804,true,AC,1581
A,G3,1,2,268,true,WA,268
E,G5,1,2,884,true,WA,884
D,G6,1,2,1239,true,WA,1239
D,G6,1,4,513,true,WA,908
D,G6,2,4,94,true,WA,908
D,G6,3,4,301,true,WA,908
D,G4,1,2,975,true,AC,975
C,G4,1,2,627,true,Abandon,627
D,G5,1,2,940,true,AC,940
D,G5,1,2,148,true,AC,148
D,G5,1,3,577,true,WA,5972
D,G5,2,3,5395,true,WA,5972
D,G5,1,3,293,true,RE,324
D,G5,2,3,31,true,RE,324
D,G5,1,3,446,true,WA,625
D,G5,2,3,179,true,WA,625
C,G5,1,2,37,true,AC,37
C,G5,1,2,429,true,AC,429
D,G4,1,2,452,true,WA,452
C,G4,1,4,29899,false,AC,42078
C,G4,2,4,10156,true,AC,42078
C,G4,3,4,2023,true,AC,42078
C,G4,1,3,452,true,AC,1033
C,G4,2,3,581,true,AC,1033
B,G3,1,3,425,true,AC,1724
B,G3,2,3,1299,true,AC,1724
B,G3,1,3,278,true,AC,1174
B,G3,2,3,896,true,AC,1174
E,G6,1,2,156,true,Abandon,156
C,G2,1,2,1674,true,Abandon,1674
D,G4,1,3,2619,true,Abandon,2743
D,G4,2,3,124,true,Abandon,2743
D,G4,1,4,738,true,Abandon,2498
D,G4,2,4,881,true,Abandon,2498
D,G4,3,4,879,true,Abandon,2498
C,G4,1,3,348,true,AC,1040
C,G4,2,3,692,true,AC,1040
D,G5,1,2,769,true,Abandon,769
D,G5,1,3,114,true,RE,925
D,G5,2,3,811,true,RE,925
D,G5,1,2,640,true,RE,640
C,G5,1,2,1592,true,WA,1592
C,G5,1,2,187,true,RE,187
C,G3,1,2,139,true,WA,139
D,G6,1,3,911,true,Abandon,1392
D,G6,2,3,481,true,Abandon,1392
F,G6,1,2,112,true,WA,112
E,G6,1,3,2003,true,AC,4899
E,G6,2,3,2896,true,AC,4899
D,G6,1,5,483,true,AC,2629
D,G6,2,5,1427,true,AC,2629
D,G6,3,5,417,true,AC,2629
D,G6,4,5,302,true,AC,2629
E,G6,1,2,180,true,AC,180
E,G6,1,3,414,true,AC,5960
E,G6,2,3,5546,true,AC,5960
E,G6,1,4,701,true,WA,2649
E,G6,2,4,1692,true,WA,2649
E,G6,3,4,256,true,WA,2649
E,G6,1,2,1829,true,AC,1829
D,G6,1,2,1676,true,AC,1676
E,G6,1,3,1913,true,WA,3125
E,G6,2,3,1212,true,WA,3125
E,G6,1,3,2029,true,Abandon,2460
E,G6,2,3,431,true,Abandon,2460
D,G6,1,4,773,true,AC,2221931
D,G6,2,4,762,true,AC,2221931
D,G6,3,4,2220396,false,AC,2221931
C,G6,1,2,38633589,false,AC,38633589
C,G4,1,2,155,true,WA,155
C,G4,1,2,131,true,Abandon,131
D,G5,1,4,674,true,WA,1948
D,G5,2,4,475,true,WA,1948
D,G5,3,4,799,true,WA,1948
D,G5,1,3,926,true,AC,1147
D,G5,2,3,221,true,AC,1147
E,G5,1,2,2327,true,AC,2327
D,G6,1,3,31,true,WA,61
D,G6,2,3,30,true,WA,61
D,G6,1,3,95,true,WA,134
D,G6,2,3,39,true,WA,134
D,G6,1,2,87,true,WA,87
D,G6,1,3,132,true,AC,266
D,G6,2,3,134,true,AC,266
D,G6,1,2,63,true,WA,63
D,G6,1,3,334,true,WA,733
D,G6,2,3,399,true,WA,733
D,G6,1,6,381,true,CE,1928
D,G6,2,6,532,true,CE,1928
D,G6,3,6,301,true,CE,1928
D,G6,4,6,509,true,CE,1928
D,G6,5,6,205,true,CE,1928
D,G6,1,3,424,true,CE,757
D,G6,2,3,333,true,CE,757
E,G6,1,2,4270,true,Abandon,4270
D,G6,1,2,299,true,WA,299
E,G6,1,5,669,true,WA,1823
E,G6,2,5,534,true,WA,1823
E,G6,3,5,544,true,WA,1823
E,G6,4,5,76,true,WA,1823
E,G6,1,3,564,true,WA,636
E,G6,2,3,72,true,WA,636
C,G6,1,2,294,true,AC,294
D,G6,1,4,1182,true,AC,1552
D,G6,2,4,135,true,AC,1552
D,G6,3,4,235,true,AC,1552
E,G6,1,4,188,true,CE,7100
E,G6,2,4,6090,true,CE,7100
E,G6,3,4,822,true,CE,7100
D,G6,1,2,756,true,AC,756
C,G6,1,2,67735,false,AC,67735
D,G6,1,2,416,true,WA,416
C,G3,1,5,126,true,Abandon,892
C,G3,2,5,146,true,Abandon,892
C,G3,3,5,309,true,Abandon,892
C,G3,4,5,311,true,Abandon,892
F,G6,1,3,241,true,WA,659
F,G6,2,3,418,true,WA,659
D,G4,1,2,378,true,WA,378
D,G3,1,2,598,true,Abandon,598
C,G3,1,2,3716,true,Abandon,3716
C,G3,1,2,820,true,WA,820
C,G3,1,2,285,true,AC,285
C,G3,1,3,256,true,AC,867
C,G3,2,3,611,true,AC,867
C,G4,1,3,33944,false,AC,34260
C,G4,2,3,316,true,AC,34260
C,G4,1,3,599081,false,AC,5011397
C,G4,2,3,4412316,false,AC,5011397
D,G4,1,2,338,true,WA,338
D,G4,1,4,63,true,Abandon,386
D,G4,2,4,243,true,Abandon,386
D,G4,3,4,80,true,Abandon,386
C,G4,1,3,697,true,Abandon,988
C,G4,2,3,291,true,Abandon,988
C,G4,1,3,824,true,AC,1103
C,G4,2,3,279,true,AC,1103
C,G4,1,5,256,true,AC,2073
C,G4,2,5,868,true,AC,2073
C,G4,3,5,589,true,AC,2073
C,G4,4,5,360,true,AC,2073
C,G5,1,2,185,true,WA,185
E,G5,1,3,255,true,AC,392
E,G5,2,3,137,true,AC,392
D,G6,1,2,426,true,Abandon,426
C,G3,1,2,885,true,Abandon,885
D,G6,1,3,54,true,AC,138
D,G6,2,3,84,true,AC,138
C,G3,1,4,166,true,AC,601
C,G3,2,4,166,true,AC,601
C,G3,3,4,269,true,AC,601
C,G3,1,9,122,true,Abandon,1260
C,G3,2,9,49,true,Abandon,1260
C,G3,3,9,37,true,Abandon,1260
C,G3,4,9,130,true,Abandon,1260
C,G3,5,9,206,true,Abandon,1260
C,G3,6,9,587,true,Abandon,1260
C,G3,7,9,32,true,Abandon,1260
C,G3,8,9,97,true,Abandon,1260
C,G4,1,2,124,true,WA,124
