difficulty,proficiency_group,first_error,sequence,sequence_length,resolved,n_pairs,proportion_pct
C,G3,WA,WA→RE→RE→WA→WA→WA→AC,7,true,3,0.01
C,G3,WA,WA→RE→RE→RE→RE→WA→WA,7,false,3,0.01
C,G3,WA,WA→TLE→RE→TLE,4,false,3,0.01
C,G3,WA,WA→WA→WA→WA→CE→CE→WA→WA→WA→WA→WA→AC,12,true,3,0.01
C,G3,WA,WA→WA→RE→RE→RE→RE,6,false,2,0.01
C,G3,WA,WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,12,true,2,0.01
C,G3,WA,WA→WA→WA→RE→WA→WA→WA→WA→AC,9,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→TLE→AC,8,true,2,0.01
C,G3,WA,WA→WA→WA→RE→WA→WA→WA→WA→WA→WA→WA,11,false,2,0.01
C,G3,WA,WA→CE→CE→RE,4,false,2,0.01
C,G3,WA,WA→WA→WA→TLE→TLE→TLE→AC,7,true,2,0.01
C,G3,WA,WA→WA→CE→WA→WA→WA→WA→WA→WA→AC,10,true,2,0.01
C,G3,WA,WA→RE→WA→WA→WA→WA→WA,7,false,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→CE→AC,6,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→CE→WA,9,false,2,0.01
C,G3,WA,WA→WA→WA→RE→RE→RE,6,false,2,0.01
C,G3,WA,WA→WA→WA→RE→WA→RE→AC,7,true,2,0.01
C,G3,WA,WA→RE→RE→RE→RE→RE→RE→RE,8,false,2,0.01
C,G3,WA,WA→TLE→TLE→RE→RE→AC,6,true,2,0.01
C,G3,WA,WA→RE→TLE→TLE→AC,5,true,2,0.01
C,G3,WA,WA→TLE→WA→WA→WA→WA→WA→WA→WA→AC,10,true,2,0.01
C,G3,WA,WA→RE→WA→RE→WA→AC,6,true,2,0.01
C,G3,WA,WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→AC,11,true,2,0.01
C,G3,WA,WA→RE→RE→RE→RE→WA→AC,7,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA,16,false,2,0.01
C,G3,WA,WA→RE→WA→WA→WA→WA→WA→WA→WA,9,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→CE→WA,11,false,2,0.01
C,G3,WA,WA→CE→WA→WA→WA→WA→WA→WA→AC,9,true,2,0.01
C,G3,WA,WA→TLE→TLE→WA→WA→WA,6,false,2,0.01
C,G3,WA,WA→RE→RE→RE→RE→RE→RE,7,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→RE→RE→RE→AC,9,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→RE→WA→WA→WA→WA→WA→WA→WA→AC,15,true,2,0.01
C,G3,WA,WA→TLE→WA→TLE→TLE→WA→WA→AC,8,true,2,0.01
C,G3,WA,WA→WA→CE→TLE→AC,5,true,2,0.01
C,G3,WA,WA→TLE→TLE→RE→AC,5,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→CE→AC,10,true,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→TLE→TLE→TLE→RE→AC,9,true,2,0.01
C,G3,WA,WA→RE→WA→WA→WA→WA→WA→WA→RE→WA,10,false,2,0.01
C,G3,WA,WA→WA→WA→WA→TLE→TLE→WA→AC,8,true,2,0.01
C,G3,WA,WA→WA→WA→TLE→TLE→TLE→TLE→TLE,8,false,2,0.01
C,G3,WA,WA→CE→CE→WA→CE→WA,6,false,2,0.01
C,G3,WA,WA→WA→WA→CE→WA→WA→WA→WA→CE→WA→AC,11,true,2,0.01
C,G3,WA,WA→WA→CE→WA→WA→WA→WA,7,false,2,0.01
C,G3,WA,WA→Other→AC,3,true,2,0.01
C,G3,WA,WA→WA→CE→WA→WA→WA→WA→WA,8,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→TLE→WA→WA→AC,12,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→CE→WA→WA,8,false,2,0.01
C,G3,WA,WA→WA→TLE→WA→WA→WA→WA→WA→WA→WA,10,false,2,0.01
C,G3,WA,WA→WA→WA→CE→CE→CE→AC,7,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→RE→RE→WA,8,false,2,0.01
C,G3,WA,WA→WA→TLE→TLE→RE→AC,6,true,2,0.01
C,G3,WA,WA→WA→TLE→TLE→TLE→TLE,6,false,2,0.01
C,G3,WA,WA→WA→TLE→TLE→TLE→TLE→WA→AC,8,true,2,0.01
C,G3,WA,WA→CE→WA→CE→WA→AC,6,true,2,0.01
C,G3,WA,WA→TLE→TLE→CE→CE→TLE→AC,7,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→RE→RE→AC,12,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→CE→CE→AC,12,true,2,0.01
C,G3,WA,WA→WA→WA→RE→WA→WA→WA→WA,8,false,2,0.01
C,G3,WA,WA→TLE→WA→WA→TLE→TLE→TLE→AC,8,true,2,0.01
C,G3,WA,WA→CE→CE→WA→WA→WA→AC,7,true,2,0.01
C,G3,WA,WA→WA→CE→WA→CE→CE→WA,7,false,2,0.01
C,G3,WA,WA→TLE→CE→AC,4,true,2,0.01
C,G3,WA,WA→CE→WA→CE→CE,5,false,2,0.01
C,G3,WA,WA→WA→WA→TLE→WA→WA→WA→WA→AC,9,true,2,0.01
C,G3,WA,WA→WA→TLE→TLE→WA→WA,6,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→TLE→TLE→AC,10,true,2,0.01
C,G3,WA,WA→TLE→CE→TLE,4,false,2,0.01
C,G3,WA,WA→TLE→TLE→RE→RE→WA,6,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→CE,9,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→AC,14,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→CE→WA→WA→WA→WA,10,false,2,0.01
C,G3,WA,WA→WA→WA→CE→CE→WA,6,false,2,0.01
C,G3,WA,WA→TLE→RE→RE→RE→AC,6,true,2,0.01
C,G3,WA,WA→CE→WA→WA→WA→WA→WA→WA,8,false,2,0.01
C,G3,WA,WA→WA→WA→RE→WA→CE→AC,7,true,2,0.01
C,G3,WA,WA→TLE→TLE→WA→WA→TLE,6,false,2,0.01
C,G3,WA,WA→TLE→TLE→RE→RE,5,false,2,0.01
C,G3,WA,WA→WA→CE→WA→CE→AC,6,true,2,0.01
C,G3,WA,WA→CE→CE→WA→WA→WA→CE→CE→WA→WA→AC,11,true,2,0.01
C,G3,WA,WA→WA→WA→RE→RE→RE→WA→WA→AC,9,true,2,0.01
C,G3,WA,WA→CE→WA→TLE→AC,5,true,2,0.01
C,G3,WA,WA→WA→CE→TLE→TLE,5,false,2,0.01
C,G3,WA,WA→RE→RE→RE→RE→WA→RE→AC,8,true,2,0.01
C,G3,WA,WA→RE→RE→RE→RE→RE→AC,7,true,2,0.01
C,G3,WA,WA→CE→WA→WA→CE→WA→WA→WA→AC,9,true,2,0.01
C,G3,WA,WA→RE→WA→WA→RE→AC,6,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→CE,7,false,2,0.01
C,G3,WA,WA→TLE→CE→WA→AC,5,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→WA,9,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→RE→RE→AC,11,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→WA→WA,10,false,2,0.01
C,G3,WA,WA→WA→WA→TLE→TLE→TLE→TLE,7,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→CE→CE→WA→AC,11,true,2,0.01
C,G3,WA,WA→WA→WA→WA→RE→WA→RE→WA,8,false,2,0.01
C,G3,WA,WA→WA→WA→RE→TLE→AC,6,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→RE→RE→WA→WA→WA→WA→WA→WA,13,false,2,0.01
C,G3,WA,WA→WA→RE→WA→WA→WA→WA→WA,8,false,2,0.01
C,G3,WA,WA→WA→WA→RE→WA→WA→WA→WA→WA→WA→WA→AC,12,true,2,0.01
C,G3,WA,WA→WA→TLE→WA→TLE→WA→AC,7,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→CE→WA→WA,9,false,2,0.01
C,G3,WA,WA→TLE→WA→TLE→WA,5,false,2,0.01
C,G3,WA,WA→WA→TLE→RE→WA,5,false,2,0.01
C,G3,WA,WA→RE→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,12,true,2,0.01
C,G3,WA,WA→WA→WA→WA→TLE→WA→WA→WA→WA→AC,10,true,2,0.01
C,G3,WA,WA→WA→RE→RE→RE→WA→AC,7,true,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→WA→WA→AC,7,true,2,0.01
C,G3,WA,WA→TLE→CE→CE→TLE→AC,6,true,2,0.01
C,G3,WA,WA→WA→CE→RE,4,false,2,0.01
C,G3,WA,WA→WA→WA→WA→CE→CE→TLE→AC,8,true,2,0.01
C,G3,WA,WA→CE→WA→CE→WA→WA→AC,7,true,2,0.01
C,G3,WA,WA→WA→WA→WA→TLE→TLE→TLE→TLE,8,false,2,0.01
C,G3,WA,WA→RE→WA→WA→TLE,5,false,2,0.01
C,G3,WA,WA→WA→RE→RE→RE→RE→RE→AC,8,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→RE,9,false,2,0.01
C,G3,WA,WA→RE→WA→WA→CE→AC,6,true,2,0.01
C,G3,WA,WA→TLE→TLE→WA→TLE,5,false,2,0.01
C,G3,WA,WA→WA→WA→CE→CE→WA→WA,7,false,2,0.01
C,G3,WA,WA→TLE→RE→RE→RE→RE→AC,7,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→RE→WA→AC,11,true,2,0.01
C,G3,WA,WA→CE→WA→TLE→TLE→TLE→TLE→WA→WA,9,false,2,0.01
C,G3,WA,WA→TLE→RE→RE→AC,5,true,2,0.01
C,G3,WA,WA→WA→WA→WA→CE→CE→WA→AC,8,true,2,0.01
C,G3,WA,WA→WA→WA→CE→WA→WA→CE→AC,8,true,2,0.01
C,G3,WA,WA→WA→WA→CE→CE→WA→AC,7,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→WA→TLE→AC,11,true,2,0.01
C,G3,WA,WA→WA→CE→WA→WA→WA→WA→WA→WA→WA,10,false,2,0.01
C,G3,WA,WA→WA→WA→RE→RE→WA→WA→WA→WA→WA→AC,11,true,2,0.01
C,G3,WA,WA→WA→TLE→TLE→TLE→TLE→TLE→AC,8,true,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→WA→WA→WA→AC,8,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→RE→WA,7,false,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→WA→WA,6,false,2,0.01
C,G3,WA,WA→RE→RE→CE→AC,5,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→RE→RE→RE→RE,9,false,2,0.01
C,G3,WA,WA→WA→WA→CE→WA→WA→WA→WA→WA,9,false,2,0.01
C,G3,WA,WA→RE→RE→RE→RE→WA→WA→WA→WA→AC,10,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→CE→AC,11,true,2,0.01
C,G3,WA,WA→WA→RE→WA→WA→WA→WA→WA→WA,9,false,2,0.01
C,G3,WA,WA→RE→RE→WA→WA→WA→WA→AC,8,true,2,0.01
C,G3,WA,WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→AC,11,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→CE→WA→WA→AC,12,true,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→TLE→TLE→AC,8,true,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→TLE→TLE→TLE→TLE→TLE,9,false,2,0.01
C,G3,WA,WA→RE→RE→WA→WA→WA,6,false,2,0.01
C,G3,WA,WA→CE→WA→WA→WA→WA→WA,7,false,2,0.01
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→CE→WA→WA→AC,11,true,2,0.01
C,G3,WA,WA→TLE→WA→WA→WA→TLE,6,false,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→TLE→TLE→TLE,7,false,2,0.01
C,G3,WA,WA→TLE→WA→WA→TLE→AC,6,true,2,0.01
C,G3,WA,WA→TLE→TLE→TLE→TLE→WA→TLE,7,false,2,0.01
C,G3,WA,WA→TLE→WA→WA→TLE→TLE→TLE→TLE→TLE→AC,10,true,1,0.0
C,G3,WA,WA→TLE→RE→TLE→TLE→TLE→TLE→AC,8,true,1,0.0
C,G3,WA,WA→TLE→TLE→WA→WA→WA→TLE,7,false,1,0.0
C,G3,WA,WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA,11,false,1,0.0
C,G3,WA,WA→RE→WA→WA→WA→RE→RE→RE→WA→RE,10,false,1,0.0
C,G3,WA,WA→RE→WA→WA→WA→WA→WA→TLE→AC,9,true,1,0.0
C,G3,WA,WA→TLE→TLE→WA→TLE→RE→WA→AC,8,true,1,0.0
C,G3,WA,WA→TLE→RE→TLE→TLE,5,false,1,0.0
C,G3,WA,WA→TLE→TLE→WA→WA→TLE→WA→TLE→TLE→TLE→TLE→TLE→TLE→TLE,14,false,1,0.0
C,G3,WA,WA→RE→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA,13,false,1,0.0
C,G3,WA,WA→RE→RE→RE→RE→RE→RE→RE→RE→RE→RE→RE→RE→RE→RE→RE,16,false,1,0.0
C,G3,WA,WA→WA→WA→WA→RE→WA→WA→WA→WA→WA→RE,11,false,1,0.0
C,G3,WA,WA→CE→WA→WA→WA→WA→CE→WA→CE→AC,10,true,1,0.0
C,G3,WA,WA→RE→WA→WA→RE→RE→WA→WA→WA→AC,10,true,1,0.0
C,G3,WA,WA→TLE→RE→TLE→WA→RE→RE→RE→AC,9,true,1,0.0
C,G3,WA,WA→WA→WA→WA→TLE→TLE→AC,7,true,1,0.0
C,G3,WA,WA→WA→WA→WA→TLE→CE→TLE→TLE→AC,9,true,1,0.0
C,G3,WA,WA→WA→CE→WA→CE→WA→WA→WA→WA→WA→WA→AC,12,true,1,0.0
C,G3,WA,WA→WA→WA→CE→WA→CE→AC,7,true,1,0.0
C,G3,WA,WA→WA→WA→WA→RE→WA→RE→TLE→RE→TLE→TLE→TLE→TLE→TLE,14,false,1,0.0
C,G3,WA,WA→TLE→WA→RE,4,false,1,0.0
C,G3,WA,WA→CE→WA→CE→WA,5,false,1,0.0
C,G3,WA,WA→WA→WA→WA→CE→RE→RE→AC,8,true,1,0.0
C,G3,WA,WA→WA→RE→RE→RE→WA→WA→WA→WA→WA→AC,11,true,1,0.0
C,G3,WA,WA→WA→TLE→TLE→WA→TLE→WA→RE→WA→WA→WA→WA→WA→WA→WA→WA→TLE→CE→AC,19,true,1,0.0
C,G3,WA,WA→WA→RE→WA→WA→WA→WA→WA→WA→AC,10,true,1,0.0
C,G3,WA,WA→WA→WA→WA→TLE→WA→WA→AC,8,true,1,0.0
C,G3,WA,WA→WA→WA→RE→WA→WA→WA→CE→CE→CE,10,false,1,0.0
C,G3,WA,WA→RE→WA→WA→WA→RE→RE→RE→AC,9,true,1,0.0
C,G3,WA,WA→WA→WA→CE→TLE→TLE,6,false,1,0.0
C,G3,WA,WA→WA→CE→CE→CE→CE→AC,7,true,1,0.0
C,G3,WA,WA→RE→WA→WA→WA→WA→WA→RE→AC,9,true,1,0.0
C,G3,WA,WA→TLE→WA→TLE→TLE→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,15,true,1,0.0
C,G3,WA,WA→RE→TLE→RE→CE→RE→WA→CE→CE→WA,10,false,1,0.0
C,G3,WA,WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA,11,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,29,true,1,0.0
C,G3,WA,WA→WA→RE→RE→RE→WA→WA→WA→WA→AC,10,true,1,0.0
C,G3,WA,WA→RE→RE→WA→WA→WA→WA→WA→WA→WA,10,false,1,0.0
C,G3,WA,WA→WA→WA→RE→WA→WA→CE→WA→WA→WA→WA→WA→RE→RE→AC,15,true,1,0.0
C,G3,WA,WA→WA→TLE→RE→TLE→TLE→TLE,7,false,1,0.0
C,G3,WA,WA→RE→WA→WA→RE→RE→WA,7,false,1,0.0
C,G3,WA,WA→TLE→WA→WA→TLE→TLE→RE,7,false,1,0.0
C,G3,WA,WA→WA→WA→WA→RE→RE→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,17,true,1,0.0
C,G3,WA,WA→WA→RE→RE→WA→WA→WA,7,false,1,0.0
C,G3,WA,WA→WA→CE→CE→WA→WA→WA→WA→CE→WA→WA→WA→WA→CE→WA→WA,16,false,1,0.0
C,G3,WA,WA→WA→RE→WA→WA→RE→RE→WA→AC,9,true,1,0.0
C,G3,WA,WA→TLE→WA→TLE→WA→TLE→TLE→AC,8,true,1,0.0
C,G3,WA,WA→RE→RE→RE→WA→RE,6,false,1,0.0
C,G3,WA,WA→TLE→TLE→TLE→TLE→TLE→RE→TLE→TLE→AC,10,true,1,0.0
C,G3,WA,WA→CE→WA→WA→WA→WA→CE→WA→WA,9,false,1,0.0
C,G3,WA,WA→CE→WA→CE→TLE→WA→WA→WA→WA→WA,10,false,1,0.0
C,G3,WA,WA→WA→WA→CE→CE→WA→WA→WA→WA→AC,10,true,1,0.0
C,G3,WA,WA→WA→CE→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→CE→WA,20,false,1,0.0
C,G3,WA,WA→WA→WA→CE→CE→CE→CE→WA→WA→WA→AC,11,true,1,0.0
C,G3,WA,WA→WA→RE→TLE→WA,5,false,1,0.0
C,G3,WA,WA→WA→RE→RE→RE→RE→RE→RE→WA→WA→WA→RE→WA→WA→WA→WA→AC,17,true,1,0.0
C,G3,WA,WA→WA→RE→WA→RE→WA→AC,7,true,1,0.0
C,G3,WA,WA→TLE→WA→WA→CE→WA→AC,7,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→RE→WA→WA→WA→CE→WA→AC,12,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→TLE→WA→WA→WA→TLE→TLE→AC,19,true,1,0.0
C,G3,WA,WA→WA→WA→CE→RE→RE→RE,7,false,1,0.0
C,G3,WA,WA→WA→RE→TLE→WA→WA→WA→WA→WA,9,false,1,0.0
C,G3,WA,WA→WA→TLE→WA→WA→WA→WA→WA→TLE→AC,10,true,1,0.0
C,G3,WA,WA→WA→RE→RE→WA→WA→WA→RE→WA→WA→RE→WA→WA→WA→AC,15,true,1,0.0
C,G3,WA,WA→CE→WA→WA→WA→WA→CE→AC,8,true,1,0.0
C,G3,WA,WA→WA→RE→WA→RE→RE→AC,7,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→RE→WA→WA→WA→WA→WA→WA→WA→WA→RE→WA→AC,17,true,1,0.0
C,G3,WA,WA→CE→CE→CE→WA→CE→AC,7,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→RE→RE→AC,22,true,1,0.0
C,G3,WA,WA→TLE→WA→TLE→WA→AC,6,true,1,0.0
C,G3,WA,WA→WA→WA→WA→TLE→TLE→TLE→AC,8,true,1,0.0
C,G3,WA,WA→WA→WA→TLE→TLE→TLE→WA→WA→AC,9,true,1,0.0
C,G3,WA,WA→WA→WA→RE→RE→RE→RE→WA→WA→WA→WA→WA→WA→RE→WA→WA→RE→RE→WA→WA→RE→WA→WA,23,false,1,0.0
C,G3,WA,WA→CE→WA→WA→WA→WA→CE→CE→WA→AC,10,true,1,0.0
C,G3,WA,WA→CE→WA→WA→WA→WA→TLE,7,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→CE→WA→CE,11,false,1,0.0
C,G3,WA,WA→CE→WA→WA→RE→RE→WA→WA→WA,9,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→TLE→TLE→TLE→TLE→TLE→TLE→TLE→TLE→AC,14,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→TLE→WA→WA→WA→TLE→TLE→TLE→WA→WA→TLE→TLE→TLE,17,false,1,0.0
C,G3,WA,WA→RE→WA→CE→WA→WA→AC,7,true,1,0.0
C,G3,WA,WA→WA→TLE→TLE→TLE→WA→WA→TLE→RE→WA→WA→WA→TLE→WA→WA,15,false,1,0.0
C,G3,WA,WA→TLE→TLE→TLE→TLE→TLE→WA→TLE→TLE→TLE→WA→WA→AC,13,true,1,0.0
C,G3,WA,WA→WA→RE→RE→RE→RE→RE→WA→AC,9,true,1,0.0
C,G3,WA,WA→WA→WA→WA→RE→WA→WA→RE→RE→RE→RE→RE→RE→RE→RE→RE→RE→WA→RE→RE→RE→RE→RE→AC,24,true,1,0.0
C,G3,WA,WA→TLE→WA→WA→TLE→WA→WA→WA→WA→WA→WA→AC,12,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→TLE→WA→WA→WA→WA→AC,15,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA,16,false,1,0.0
C,G3,WA,WA→WA→WA→TLE→WA→TLE→TLE→TLE→AC,9,true,1,0.0
C,G3,WA,WA→TLE→TLE→RE→RE→RE→RE→RE→RE→AC,10,true,1,0.0
C,G3,WA,WA→WA→WA→WA→RE→CE→RE→AC,8,true,1,0.0
C,G3,WA,WA→WA→RE→RE→WA→WA→TLE→TLE→TLE,9,false,1,0.0
C,G3,WA,WA→RE→RE→RE→WA→WA→WA→WA→WA→WA,10,false,1,0.0
C,G3,WA,WA→WA→WA→WA→TLE→RE→RE→RE→RE→WA→WA→WA→AC,13,true,1,0.0
C,G3,WA,WA→WA→RE→WA→RE→RE→RE→RE→RE→RE→RE→RE→RE→AC,14,true,1,0.0
C,G3,WA,WA→TLE→WA→WA→TLE→WA→WA→WA→WA→WA→AC,11,true,1,0.0
C,G3,WA,WA→TLE→TLE→WA→TLE→TLE→TLE→AC,8,true,1,0.0
C,G3,WA,WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA,12,false,1,0.0
C,G3,WA,WA→WA→RE→RE→RE→CE→AC,7,true,1,0.0
C,G3,WA,WA→WA→RE→WA→WA→WA→WA→RE→WA→WA,10,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→CE→CE→CE→CE→CE→WA→WA→WA→WA→WA→AC,18,true,1,0.0
C,G3,WA,WA→RE→RE→RE→WA→RE→RE→RE→RE,9,false,1,0.0
C,G3,WA,WA→WA→WA→RE→WA→WA→RE→WA→WA→RE→WA→AC,12,true,1,0.0
C,G3,WA,WA→WA→TLE→TLE→RE→RE→AC,7,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→WA→RE→WA→WA→WA→WA→WA→WA→WA→WA→WA,19,false,1,0.0
C,G3,WA,WA→WA→TLE→RE→RE→WA→WA→WA→AC,9,true,1,0.0
C,G3,WA,WA→WA→CE→RE→CE→RE→RE→RE→CE→AC,10,true,1,0.0
C,G3,WA,WA→WA→CE→WA→WA→RE→AC,7,true,1,0.0
C,G3,WA,WA→RE→RE→RE→WA→WA→CE→WA→RE→WA→WA→WA→WA→RE→WA→WA→AC,17,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA,36,false,1,0.0
C,G3,WA,WA→TLE→TLE→WA→RE→TLE→RE→AC,8,true,1,0.0
C,G3,WA,WA→WA→TLE→TLE→RE→WA→AC,7,true,1,0.0
C,G3,WA,WA→WA→RE→RE→RE→WA,6,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→TLE→WA→WA→WA,11,false,1,0.0
C,G3,WA,WA→CE→CE→CE→CE→CE→WA→CE→AC,9,true,1,0.0
C,G3,WA,WA→WA→RE→RE→WA→WA→WA→WA→WA→AC,10,true,1,0.0
C,G3,WA,WA→RE→RE→RE→WA→RE→WA→WA→WA→WA→AC,11,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→RE→WA→WA→WA→AC,13,true,1,0.0
C,G3,WA,WA→TLE→TLE→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA,18,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→CE→CE→WA→WA,9,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→CE→WA→CE→AC,9,true,1,0.0
C,G3,WA,WA→RE→RE→WA→RE→RE→TLE,7,false,1,0.0
C,G3,WA,WA→RE→WA→TLE→AC,5,true,1,0.0
C,G3,WA,WA→WA→WA→WA→RE→RE→WA→RE→WA→RE→WA→AC,12,true,1,0.0
C,G3,WA,WA→WA→CE→WA→WA→WA→CE→CE→WA→WA→WA→WA,12,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→CE,13,false,1,0.0
C,G3,WA,WA→WA→CE→CE→WA→TLE→TLE→TLE→AC,9,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→RE→WA→WA→WA,12,false,1,0.0
C,G3,WA,WA→WA→WA→RE→WA→RE→RE,7,false,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→RE→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,18,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→CE→RE→RE→WA,9,false,1,0.0
C,G3,WA,WA→RE→WA→WA→WA→WA→RE→RE→WA,9,false,1,0.0
C,G3,WA,WA→WA→WA→RE→WA→WA→WA→WA→WA→WA→WA→WA→WA→RE→RE→WA→WA→WA→AC,19,true,1,0.0
C,G3,WA,WA→Other→WA→AC,4,true,1,0.0
C,G3,WA,WA→RE→WA→RE→WA→WA→WA→AC,8,true,1,0.0
C,G3,WA,WA→TLE→WA→WA→WA→WA→WA→CE→WA→WA→WA→AC,12,true,1,0.0
C,G3,WA,WA→WA→CE→WA→WA→WA→CE→WA→WA→RE→WA→WA→WA→AC,14,true,1,0.0
C,G3,WA,WA→RE→CE→WA→WA→WA→WA→AC,8,true,1,0.0
C,G3,WA,WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→AC,22,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→RE→WA→WA→WA→WA→WA→RE→WA→AC,15,true,1,0.0
C,G3,WA,WA→WA→RE→RE→WA→WA→WA→WA→WA→WA→AC,11,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→WA→WA→WA→WA→WA→CE→WA→WA→WA→WA→WA→WA→WA→WA→AC,20,true,1,0.0
C,G3,WA,WA→WA→WA→RE→RE→WA→WA→RE→AC,9,true,1,0.0
C,G3,WA,WA→WA→WA→WA→WA→RE→CE→WA→WA→AC,10,true,1,0.0
C,G3,WA,WA→RE→CE→RE,4,false,1,0.0
